,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
20603,0.83,12.5,11.67,0.83,0.02032,243,258.98,14.16,0,"Organic Fruit Yogurt Smoothie, Apple Blueberry"
20604,0.42,13.33,11.67,1.67,0.03048,280,271.38,15.42,0,"Organic Fruit Yogurt Smoothie, Peach, Banana"
20605,0.42,14.17,12.5,1.67,0.03048,314,285.66,16.26,0,"Organic Fruit Yogurt Smoothie, Strawberry, Banana"
20606,0.42,11.67,10,0.83,0.03048,243,228.88,12.92,0,"Organic Fruit Yogurt Smoothie, Mixed Berry"
20607,0.42,13.33,11.67,0.83,0.03048,243,257.1,14.58,0,"Organic Fruit Yogurt Smoothie, Pear Mango"
20608,0,7.07,5.05,1.01,0.14224,126,137.36,8.08,0,Organic Carrots & Broccoli Baby Food Puree
20609,0,7.07,1.01,2.02,0.0381,146,154.53,9.09,0,"Organic Baby Food Puree, Pumpkin & Spinach"
20610,0,11.11,2.02,1.01,0.0381,188,206.04,12.12,0,Squash & Sweet Peas Baby Food Puree
20611,0,15.15,5.05,1.01,0.0381,255,274.72,16.16,0,Organic Baby Food Puree
20612,0.83,12.5,11.67,0.83,0.02032,243,258.98,14.16,0,"Organic Fruit Yogurt Smoothie, Cherry, Apple"
20614,0,8.08,3.03,2.02,0.0254,126,171.7,10.1,0,"Carrot Split Pea Kamut, Veggie & Protein Puree"
20615,0,17.17,1.01,2.02,0.0127,297,326.23,19.19,0,Organic Sweet Potato Garbanzo Barley
20616,0,9.09,2.02,3.03,0.14224,213,206.04,12.12,0,Spinach Lentil Brown Rice
20617,0,11.11,1.01,2.02,0,213,223.21,13.13,0,"Broccoli Red Lentil Oat, Veggie & Protein Puree"
20618,0,17.7,15.04,0.88,0.03302,335,315.86,18.58,0,Organic Banana Blueberry Baby Food Puree
20619,0.42,14.17,12.5,1.67,0.03048,314,285.66,16.26,0,Organic Fruit Yogurt Smoothie
20620,0,8.08,2.02,2.02,0.0508,167,171.7,10.1,0,"Eggplant Spinach, Carrot & Lentil Puree"
20621,1.01,9.09,3.03,2.02,0.0381,213,228.26,12.12,0,Turkey Red Beans &Brown Rice
20622,1.01,9.09,0,3.03,0.0254,255,245.43,13.13,0,Chicken Risotto & Portabella Mushrooms Puree
20623,4.52,13.55,9.03,2.58,0,431,450.49,20.65,0,"Fruit & Sunflower Wave, Banana & Sunflower Seed Butter"
